pc's,PC's,De pc's in het lab zijn vernieuwd,The PCs in the lab have been renewed
fabrikant,manufacturer,De fabrikant levert de onderdelen,The manufacturer supplies the parts
religieuze,religious,Zij heeft een religieuze achtergrond,She has a religious background
ontslagen,fired,Hij is ontslagen wegens diefstal,He was fired for theft
uitgewerkt,worked out,Het plan is goed uitgewerkt,The plan is well worked out
vergt,requires,Dit project vergt veel geduld,This project requires a lot of patience
gerust,at ease,U kunt gerust zijn,You can be at ease
Mexico,Mexico,Mexico is een groot land,Mexico is a large country
lancering,launch,De lancering van de raket was succesvol,The launch of the rocket was successful
vlot,smooth,Het gesprek verliep vlot,The conversation went smoothly
stoelen,chairs,We hebben nieuwe stoelen nodig,We need new chairs
besluiten,decisions,De besluiten zijn genomen,The decisions have been made
oordeel,verdict,Het oordeel van de rechter was streng,The judge's verdict was harsh
inzet,commitment,Zijn inzet wordt gewaardeerd,His commitment is appreciated
Bob,Bob,Bob is gisteren vertrokken,Bob left yesterday
opgelost,solved,Het probleem is eindelijk opgelost,The problem is finally solved
vertegenwoordigers,representatives,De vertegenwoordigers komen morgen,The representatives are coming tomorrow
prestatie,achievement,Dat was een knappe prestatie,That was a great achievement
verborgen,hidden,De schat bleef verborgen,The treasure remained hidden
Rome,Rome,Rome is een historische stad,Rome is a historic city
scherp,sharp,Het mes is scherp,The knife is sharp
hervorming,reform,De hervorming is noodzakelijk,The reform is necessary
erger,worse,Het wordt alleen maar erger,It only gets worse
emoties,emotions,Hij kon zijn emoties niet verbergen,He could not hide his emotions
an,an,Dit is een an sich goed idee,This is a good idea in itself
Kabila,Kabila,Kabila was president van Congo,Kabila was president of Congo
gevormd,formed,Het team is vorig jaar gevormd,The team was formed last year
fles,bottle,De fles wijn is leeg,The bottle of wine is empty
eist,demands,De vakbond eist hogere lonen,The union demands higher wages
gids,guide,De gids toonde ons de stad,The guide showed us the city
Koerden,Kurds,De Koerden vechten voor autonomie,The Kurds fight for autonomy
staatssecretaris,state secretary,De staatssecretaris gaf een toespraak,The state secretary gave a speech
Oosten,East,De wind komt uit het oosten,The wind comes from the east
bestuurders,directors,De bestuurders vergaderen wekelijks,The directors meet weekly
meesten,most,De meesten zijn het ermee eens,Most agree with it
jezelf,yourself,Wees eerlijk tegen jezelf,Be honest with yourself
Christian,Christian,Christian is mijn buurman,Christian is my neighbor
plotseling,sudden,Er was een plotselinge verandering,There was a sudden change
Radio,radio,Ik luister naar de radio,I listen to the radio
maatschappelijk,social,Maatschappelijke betrokkenheid is belangrijk,Social involvement is important
gemeenteraad,municipal council,De gemeenteraad vergadert vanavond,The municipal council meets tonight
temperatuur,temperature,De temperatuur daalt snel,The temperature is dropping fast
Marcel,Marcel,Marcel kookt graag,Marcel likes to cook
effectief,effective,Deze methode is zeer effectief,This method is very effective
student,student,De student studeert geneeskunde,The student studies medicine
Bijvoorbeeld,for example,Neem bijvoorbeeld deze situatie,Take this situation for example
schatting,estimate,Bij schatting zijn er honderd mensen,An estimated hundred people are there
bord,plate,Het bord staat op tafel,The plate is on the table
pan,pan,De soep staat in de pan,The soup is in the pan
plaatse,place,Ter plaatse was er veel chaos,There was a lot of chaos on site
zakken,bags,De zakken zijn zwaar,The bags are heavy
