realisme,realism,Het realisme in de kunst is interessant,Realism in art is interesting
Perez,Perez,Meneer Perez komt uit Spanje,Mr. Perez comes from Spain
vervult,fulfills,Hij vervult zijn droom,He fulfills his dream
leerden,learned,Zij leerden Nederlands,They learned Dutch
UM,UM,UM is een afkorting voor Universiteit Maastricht,UM is an abbreviation for Maastricht University
Ensemble,ensemble,Het ensemble speelde prachtig,The ensemble played beautifully
breidt,expands,Hij breidt zijn bedrijf uit,He expands his company
onderschatten,underestimate,Je moet hem niet onderschatten,You should not underestimate him
uitgelezen,excellent,Zij is een uitgelezen kandidaat,She is an excellent candidate
eerste-minister,prime minister,De eerste-minister gaf een toespraak,The prime minister gave a speech
MAASTRICHT,Maastricht,Maastricht is een mooie stad,Maastricht is a beautiful city
Dendermonde,Dendermonde,Dendermonde ligt in Oost-Vlaanderen,Dendermonde is in East Flanders
verkoopprijs,selling price,De verkoopprijs is te hoog,The selling price is too high
Léon,Leon,Léon is een Franse naam,Leon is a French name
Franstalig,French-speaking,Franstalige Belgen wonen in Wallonië,French-speaking Belgians live in Wallonia
productieproces,production process,Het productieproces is efficiënt,The production process is efficient
multimedia,multimedia,Multimedia wordt veel gebruikt in onderwijs,Multimedia is widely used in education
Inkom,income,Zijn inkomen is gestegen,His income has increased
Agusta,Agusta,Agusta is een Italiaans merk,Agusta is an Italian brand
laagje,thin layer,Er zit een laagje ijs op de vijver,There is a thin layer of ice on the pond
opgehaald,picked up,Hij werd opgehaald door zijn moeder,He was picked up by his mother
broeken,pants,Deze broeken zijn in de aanbieding,These pants are on sale
Mr,Mr,Mr. Jansen is de directeur,Mr. Jansen is the director
verwezenlijken,realize,Zij wil haar dromen verwezenlijken,She wants to realize her dreams
aanschaf,purchase,De aanschaf van een nieuwe auto is duur,The purchase of a new car is expensive
Erg,very,Dat is erg interessant,That is very interesting
veelbelovende,promising,Het is een veelbelovende start,It is a promising start
Oorspronkelijk,originally,Oorspronkelijk kwam hij uit Spanje,Originally he came from Spain
horizon,horizon,De zon verdwijnt achter de horizon,The sun disappears behind the horizon
steile,steep,De weg is heel steil,The road is very steep
schakel,gear/switch,De schakel in het systeem is kapot,The link in the system is broken
varieert,varies,De prijs varieert per seizoen,The price varies per season
geavanceerde,advanced,Het is een geavanceerde technologie,It is an advanced technology
cover,cover,De cover van het boek is mooi,The cover of the book is beautiful
Vanavond,tonight,Vanavond gaan we uit eten,Tonight we are going out for dinner
ondervraagd,interrogated,De verdachte werd ondervraagd,The suspect was interrogated
misdrijven,crimes,De misdrijven zijn ernstig,The crimes are serious
bevindingen,findings,De bevindingen van het onderzoek zijn duidelijk,The findings of the research are clear
uitvallen,fall out,De lessen vallen uit vandaag,The lessons are cancelled today
small,small,Het huis is klein maar gezellig,The house is small but cozy
verwoest,destroyed,De storm heeft het dorp verwoest,The storm destroyed the village
nuance,nuance,Er zit veel nuance in zijn verhaal,There is a lot of nuance in his story
piste,piste/track,De skipiste is geopend,The ski slope is open
gewoonweg,simply,Dat is gewoonweg onmogelijk,That is simply impossible
Beurs,stock exchange/exhibition,De beurs opende hoger,The stock exchange opened higher
Maij,Maij,Mevrouw Maij is de minister,Ms. Maij is the minister
kathedraal,cathedral,De kathedraal is eeuwenoud,The cathedral is centuries old
Elizabeth,Elizabeth,Koningin Elizabeth regeerde lang,Queen Elizabeth ruled for long
Jones-index,Jones index,De Jones-index steeg met 2%,The Jones index rose by 2%
Tudjman,Tudjman,President Tudjman was Kroatisch,President Tudjman was Croatian
MB,MB,Het bestand is 5 MB groot,The file is 5 MB in size
koetswerk,coachwork,Het koetswerk van de auto is beschadigd,The coachwork of the car is damaged
zaak-Dutroux,Dutroux case,De zaak-Dutroux schokte België,The Dutroux case shocked Belgium
Leeuw,Leo,De Leeuw is een sterrenbeeld,Leo is a zodiac sign
vijfentwintig,twenty-five,Er zijn vijfentwintig studenten in de klas,There are twenty-five students in the class
rechtspraak,judiciary,De rechtspraak is onafhankelijk,The judiciary is independent
nabijheid,proximity,De nabijheid van het station is handig,The proximity of the station is convenient
grafisch,graphic,Hij is een grafisch ontwerper,He is a graphic designer
Probleem,problem,Dat is een groot probleem,That is a big problem
center,center,Het winkelcentrum is groot,The shopping center is large
nature,nature,De natuur is prachtig,Nature is beautiful
middags,afternoon,'s Middags slaap ik altijd,In the afternoon I always nap
recreatie,recreation,Recreatie is belangrijk voor de gezondheid,Recreation is important for health
Rechts,right,Rechts afslaan bij het stoplicht,Turn right at the traffic light
verbaast,amazes,Het verbaast me dat hij komt,It amazes me that he comes
glad,slippery,De weg is glad na de regen,The road is slippery after the rain
assistent,assistant,Zij werkt als assistent van de directeur,She works as assistant to the director
Dagelijks,daily,Hij leest de dagelijkse krant,He reads the daily newspaper
mouwen,sleeves,De mouwen van mijn jas zijn te lang,The sleeves of my coat are too long
Ordening,ordering,Er is geen ordening in dit systeem,There is no ordering in this system
telefoontje,phone call,Ik kreeg een telefoontje van mijn moeder,I got a phone call from my mother
koppels,couples,De koppels dansten samen,The couples danced together
bedden,beds,De bedden in het hotel zijn comfortabel,The beds in the hotel are comfortable
beurskoersen,stock prices,De beurskoersen stijgen,The stock prices are rising
zwakte,weakness,Zijn zwakte is zijn gebrek aan geduld,His weakness is his lack of patience
schaalvergroting,scale enlargement,De schaalvergroting in de landbouw gaat door,The scaling up in agriculture continues
graaf,count,De graaf woont in een kasteel,The count lives in a castle
metafoor,metaphor,De metafoor maakt de tekst mooier,The metaphor makes the text more beautiful
Adam,Adam,Adam was de eerste mens volgens de Bijbel,Adam was the first man according to the Bible
rivaal,rival,Hij is mijn grootste rivaal,He is my biggest rival
afgebouwd,phased out,De subsidie wordt afgebouwd,The subsidy is being phased out
bouwden,built,Zij bouwden een nieuw huis,They built a new house
Mertens,Mertens,Meneer Mertens is de leraar,Mr. Mertens is the teacher
Mercedes-Benz,Mercedes-Benz,Mercedes-Benz maakt luxe auto's,Mercedes-Benz makes luxury cars
parallelle,parallel,De straten lopen parallel,The streets run parallel
kortetermijnrente,short-term interest rate,De kortetermijnrente is gedaald,The short-term interest rate has dropped
loonkost,labor cost,De loonkosten zijn hoog in Nederland,Labor costs are high in the Netherlands
vlakke,flat,Het landschap is vlak,The landscape is flat
ruiten,diamonds/windows,De ruiten van het huis zijn groot,The windows of the house are large
weergegeven,displayed,De informatie wordt weergegeven op het scherm,The information is displayed on the screen
afdrukken,print,Kunt u dit document afdrukken?,Can you print this document?
way,way,Deze manier is beter,This way is better
voordracht,lecture/speech,De voordracht was zeer interessant,The lecture was very interesting
kijkje,look,Neem een kijkje in de tuin,Take a look in the garden
coach,coach,De coach motiveert het team,The coach motivates the team
inwoner,inhabitant,Elke inwoner van de stad kreeg een brief,Every inhabitant of the city received a letter
levensduur,lifespan,De levensduur van dit product is lang,The lifespan of this product is long
offensief,offensive,Het leger begon een offensief,The army began an offensive
perioden,periods,De perioden van regen zijn voorbij,The periods of rain are over
reeksen,series,Er zijn meerdere reeksen van het programma,There are multiple series of the program
feestje,party,We geven een feestje vanavond,We are throwing a party tonight
applaus,applause,Het publiek gaf luid applaus,The audience gave loud applause
middels,by means of,Hij reisde middels de trein,He traveled by means of the train
uitgewezen,deported,De illegalen werden uitgewezen,The illegals were deported
hypothecaire,mortgage,De hypothecaire lening is goedgekeurd,The mortgage loan is approved
dermate,so much,Het was dermate koud dat we binnen bleven,It was so cold that we stayed inside
achterop,behind,We lopen achter op schema,We are behind schedule
Airbus,Airbus,Airbus maakt vliegtuigen,Airbus makes airplanes
tenten,tents,We slapen in tenten tijdens het kamperen,We sleep in tents during camping
Zulke,such,Zulke mensen zijn zeldzaam,Such people are rare
slechtste,worst,Dit is de slechtste film ooit,This is the worst movie ever
aantrekt,attracts,Hij trekt veel aandacht,He attracts a lot of attention
beginnende,beginning,De beginnende student leert snel,The beginning student learns quickly
omringende,surrounding,De omringende gebieden zijn rustig,The surrounding areas are quiet
Amper,barely,Amper hadden we het huis verlaten of het begon te regenen,Barely had we left the house when it started raining
doodgeschoten,shot dead,De man werd doodgeschoten door de politie,The man was shot dead by the police
stapten,stepped,Zij stapten in de trein,They stepped onto the train
nachtmerrie,nightmare,De nachtmerrie hield haar wakker,The nightmare kept her awake
rangen,ranks,De rangen van het leger zijn duidelijk,The ranks of the army are clear
rooskleurig,rosy,De toekomst ziet er rooskleurig uit,The future looks rosy
were,were,They were happy met het resultaat,They were happy with the result
Tina,Tina,Tina werkt in een restaurant,Tina works in a restaurant
Boerenbond,Farmers Union,De Boerenbond helpt boeren,The Farmers Union helps farmers
loonmatiging,wage moderation,Loonmatiging is nodig voor de economie,Wage moderation is necessary for the economy
Meulenaere,Meulenaere,De heer Meulenaere is de burgemeester,Mr. Meulenaere is the mayor
aandelenfondsen,equity funds,Aandelenfondsen zijn risicovol,Equity funds are risky
nach,after,Nach der Arbeit gehe ich nach Hause,After work I go home
Selangor,Selangor,Selangor is een staat in Maleisië,Selangor is a state in Malaysia
centrales,power plants,De centrales produceren elektriciteit,The power plants produce electricity
regelrechte,downright,Dat is regelrechte fraude,That is downright fraud
groepjes,small groups,De studenten werkten in groepjes,The students worked in small groups
immer,always,Hij is immer vriendelijk,He is always friendly
verplaatst,moved,De vergadering is verplaatst naar morgen,The meeting has been moved to tomorrow
my,my,Dat is my boek,That is my book
koffers,suitcases,De koffers zijn ingepakt,The suitcases are packed
vervoerd,transported,De goederen worden per schip vervoerd,The goods are transported by ship
ingrijpend,drastic,Er is een ingrijpende verandering nodig,A drastic change is needed
hals,neck,Hij heeft pijn in zijn hals,He has pain in his neck
Margaret,Margaret,Margaret is een mooie naam,Margaret is a beautiful name
