dateert,dates,Dit schilderij dateert uit de zeventiende eeuw,This painting dates from the seventeenth century
marge,margin,De winstmarge is dit jaar gestegen,The profit margin has risen this year
vaststellen,determine,De commissie moet de feiten vaststellen,The committee must determine the facts
faillissement,bankruptcy,Het bedrijf heeft faillissement aangevraagd,The company has filed for bankruptcy
afdelingen,departments,De afdelingen werken samen aan dit project,The departments are working together on this project
wonder,miracle,Het is een wonder dat hij het overleefde,It is a miracle that he survived it
posities,positions,De posities zijn duidelijk verdeeld,The positions are clearly divided
Yves,Yves,Yves heeft een nieuwe baan gevonden,Yves has found a new job
arme,poor,De arme man had geen geld voor eten,The poor man had no money for food
kwaliteiten,qualities,Zij heeft uitstekende leiderschapskwaliteiten,She has excellent leadership qualities
motieven,motives,Zijn motieven waren niet zuiver,His motives were not pure
gegarandeerd,guaranteed,Kwaliteit is gegarandeerd bij dit product,Quality is guaranteed with this product
bar,bar,We ontmoeten elkaar in de bar,We meet each other at the bar
moed,courage,Het kostte veel moed om te spreken,It took a lot of courage to speak
behandelen,treat,De arts zal de patient behandelen,The doctor will treat the patient
verlaagd,lowered,De prijzen zijn verlaagd voor de uitverkoop,The prices have been lowered for the sale
verdiend,earned,Hij heeft zijn rust verdiend,He has earned his rest
Congo,Congo,Congo is een land in Afrika,Congo is a country in Africa
riep,called,Zij riep om hulp,She called for help
vertaald,translated,Het boek is vertaald in twintig talen,The book has been translated into twenty languages
kapitaalverhoging,capital increase,De kapitaalverhoging is goedgekeurd,The capital increase has been approved
verkoper,seller,De verkoper gaf goede uitleg,The seller gave a good explanation
schuldig,guilty,De rechter verklaarde hem schuldig,The judge declared him guilty
oeuvre,oeuvre,Zijn oeuvre omvat meer dan honderd schilderijen,His oeuvre includes more than a hundred paintings
motoren,engines,De motoren van de fabriek worden vernieuwd,The engines in the factory are being renewed
Plus,Plus,Plus is een Nederlands supermarktketen,Plus is a Dutch supermarket chain
oorzaken,causes,De oorzaken van het ongeluk zijn onbekend,The causes of the accident are unknown
planning,planning,De planning van het project is klaar,The planning of the project is ready
extreem,extreme,Het weer is extreem warm vandaag,The weather is extremely hot today
baby,baby,De baby slaapt vredig in de wieg,The baby sleeps peacefully in the crib
voorspellen,predict,Het is moeilijk om de toekomst te voorspellen,It is difficult to predict the future
rekeningen,bills,Ik moet de rekeningen betalen,I must pay the bills
dem,them (dialect),Dem heb ik niet gezien,I have not seen them
Software,software,De software moet worden bijgewerkt,The software needs to be updated
Cockerill,Cockerill,Cockerill is een historisch bedrijf in Luik,Cockerill is a historic company in Liege
koste,cost,De koste van de verbouwing was hoog,The cost of the renovation was high
uitbreiden,expand,Het bedrijf wil uitbreiden naar Azie,The company wants to expand to Asia
aanvragen,applications,De aanvragen worden volgende week behandeld,The applications will be processed next week
Spelen,Games,De Olympische Spelen zijn volgend jaar,The Olympic Games are next year
transacties,transactions,Alle transacties worden geregistreerd,All transactions are recorded
deels,partially,Het probleem is deels opgelost,The problem is partially solved
Belge,Belgian (French),Dit is een typisch Belge gerecht,This is a typical Belgian dish
naargelang,according to,De prijs varieert naargelang de grootte,The price varies according to the size
verricht,performed,De dokter heeft de operatie verricht,The doctor performed the surgery
kleinste,smallest,Dit is de kleinste maat die we hebben,This is the smallest size we have
leed,suffering,Het leed van de slachtoffers was groot,The suffering of the victims was great
vergeet,forget,Vergeet je paraplu niet,Do not forget your umbrella
avontuur,adventure,Hun reis was een groot avontuur,Their trip was a great adventure
beheren,manage,Zij beheren het fonds samen,They manage the fund together
VU,VU,De VU is een politieke partij,The VU is a political party
globale,global,Er is een globale toename van de temperatuur,There is a global increase in temperature
Coca-Cola,Coca-Cola,Coca-Cola is een bekend merk,Coca-Cola is a well-known brand
som,sum,De som van de bedragen is duizend euro,The sum of the amounts is one thousand euros
betekende,meant,Zijn vertrek betekende het einde van de samenwerking,His departure meant the end of the collaboration
Sony,Sony,Sony maakt elektronische producten,Sony makes electronic products
kamp,camp,De kinderen gaan naar zomerkamp,The children go to summer camp
lokaal,local,Het lokale bestuur heeft besloten,The local government has decided
opgelopen,sustained,Hij heeft een blessure opgelopen,He has sustained an injury
schermen,screens,De schermen zijn van hoge kwaliteit,The screens are of high quality
beleggingen,investments,Zijn beleggingen leveren veel op,His investments yield a lot
vroegen,asked,Zij vroegen om meer informatie,They asked for more information
herinneren,remember,Ik herinner me die dag nog goed,I remember that day well
verbeterd,improved,De situatie is aanzienlijk verbeterd,The situation has improved significantly
zodanig,such,Het was zodanig geregeld dat iedereen tevreden was,It was arranged in such a way that everyone was satisfied
bezoeker,visitor,Elke bezoeker krijgt een rondleiding,Every visitor gets a tour
afgesproken,agreed,We hebben een tijd afgesproken,We agreed on a time
reizigers,travelers,De reizigers wachten op het perron,The travelers are waiting on the platform
zuivere,pure,Dit is zuivere chocolade,This is pure chocolate
meneer,sir,"Meneer, mag ik u iets vragen","Sir, may I ask you something"
ster,star,Zij is een grote ster in de filmwereld,She is a big star in the film world
Australische,Australian,De Australische wijn is van goede kwaliteit,Australian wine is of good quality
geschikte,suitable,We zoeken een geschikte kandidaat,We are looking for a suitable candidate
wijten,attribute,Het falen is te wijten aan slechte communicatie,The failure is due to poor communication
schoot,shot,De jager schoot op het doelwit,The hunter shot at the target
Jacobs,Jacobs,Meneer Jacobs is onze nieuwe directeur,Mr Jacobs is our new director
Denk,Think,Denk goed na voordat je beslist,Think carefully before you decide
Eddy,Eddy,Eddy is altijd vrolijk,Eddy is always cheerful
buitenwereld,outside world,Het kasteel was afgesloten van de buitenwereld,The castle was closed off from the outside world
Sittard,Sittard,Sittard ligt in Limburg,Sittard is located in Limburg
droog,dry,Het weer blijft droog vandaag,The weather stays dry today
tijdschriften,magazines,Ik lees graag tijdschriften over wetenschap,I like reading magazines about science
gebakken,fried,De gebakken aardappelen zijn heerlijk,The fried potatoes are delicious
combineren,combine,Je kunt werk en studie combineren,You can combine work and study
uitgenodigd,invited,Zij is uitgenodigd voor het feest,She has been invited to the party
