beesten,beasts,De beesten in de dierentuin zijn wild,The beasts in the zoo are wild
mengsel,mixture,Het mengsel is homogeen,The mixture is homogeneous
Welk,which,Welk boek lees je,Which book are you reading
Ruimtelijke,spatial,Ruimtelijke ordening is belangrijk,Spatial planning is important
ziekenfondsen,health insurance funds,De ziekenfondsen betalen de kosten,The health insurance funds pay the costs
jl,past,Hij verwijst naar zijn brief jl,He refers to his letter of past month
gedeeld,shared,Hij heeft zijn mening gedeeld,He shared his opinion
Sovjet,Soviet,De Sovjet-Unie viel uiteen in 1991,The Soviet Union collapsed in 1991
Ga,go,Ga naar huis,Go home
sterft,dies,Hij sterft aan een ziekte,He dies from an illness
verantwoordelijkheden,responsibilities,Hij heeft veel verantwoordelijkheden,He has many responsibilities
speurders,detectives,De speurders zoeken aanwijzingen,The detectives look for clues
plakjes,slices,De plakjes kaas zijn lekker,The slices of cheese are tasty
weekends,weekends,In het weekend werk ik niet,On weekends I do not work
Swissair,Swissair,Swissair was de nationale luchtvaartmaatschappij van Zwitserland,Swissair was the national airline of Switzerland
Mechelse,Mechelen,De Mechelse kant is beroemd,Mechelen lace is famous
liquiditeit,liquidity,De liquiditeit van het bedrijf is goed,The liquidity of the company is good
Danone,Danone,Danone maakt yoghurt,Danone makes yogurt
Kees,Kees,Kees is een Nederlandse jongensnaam,Kees is a Dutch boy's name
party,party,Het party seizoen begint,The party season begins
Tongeren,Tongeren,Tongeren is de oudste stad van België,Tongeren is the oldest city in Belgium
koestert,cherishes,Hij koestert zijn herinneringen,He cherishes his memories
afwijking,deviation,Er is een kleine afwijking,There is a small deviation
aangeeft,indicates,Hij geeft de richting aan,He indicates the direction
Spaans,Spanish,Spaans is een mooie taal,Spanish is a beautiful language
stoten,push,Stoot niet tegen de tafel,Do not push against the table
literair,literary,Hij schrijft literaire werken,He writes literary works
statuten,statutes,De statuten van de vereniging zijn aangepast,The statutes of the association have been amended
genereren,generate,Zij genereren nieuwe ideeën,They generate new ideas
bekennen,confess,Hij bekent zijn fout,He confesses his mistake
geteld,counted,De stemmen zijn geteld,The votes have been counted
kernwapens,nuclear weapons,Kernwapens zijn gevaarlijk,Nuclear weapons are dangerous
ruikt,smells,Het ruikt naar vers brood,It smells like fresh bread
overvloed,abundance,Er is een overvloed aan voedsel,There is an abundance of food
officieren,officers,De officieren geven bevelen,The officers give orders
korps,corps,Hij dient bij het korps mariniers,He serves in the marine corps
toets,test,De toets was moeilijk,The test was difficult
stal,stole,Hij stal het geld,He stole the money
Emile,Emile,Emile is een Franse naam,Emile is a French name
namiddag,afternoon,In de namiddag ga ik wandelen,In the afternoon I go for a walk
makelaars,real estate agents,De makelaars verkopen huizen,The real estate agents sell houses
ou,or,Ou bien tu viens,Or you come
droomt,dreams,Hij droomt van een wereldreis,He dreams of a world trip
Landgraaf,Landgraaf,Landgraaf is een gemeente in Limburg,Landgraaf is a municipality in Limburg
